Location ID,Country,Country description,Country ID,Forecast Type,Geo Latitude,Geo Longitude,Holding Cost Percentage,Intl/Dom Ind,Location Business Partner ID,Location,Location Region,Location Type,Location Validity,Order Timing,Replaced by Customer,Sales Area,Sales Divison,Sales Domain,Sales Region,Sales Region Code,State,State description,Demand State,Supplying Location
0000001029,0000205019,HAITI,,S,,,,I,,BRASSERIE DE LA COURONNE S A,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,8009
0000001035,0000205031,CURACAO,,S,,,,I,,SUPERMERCADO LUZ NV,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,8009
0000001039,US,USA,,S,,,,D,,UNITED DISTRIBUTORS  INC,GA,DIST,,SI,,Eastern Area,Dom3 Southeast Division,Domestic,Dom3 SouthEast Region,60,GA,Georgia,GA,1123
0000001045,US,USA,,S,,,,D,,MARINE CORPS EXCHANGE CONV,NC,DIST,,SI,,Military Area,Dom6 Military Domestic,Domestic,Dom6 Dom Military Region,17,NC,North Carolina,MIL,1123
0000001047,US,USA,,S,,,,D,,SILER CITY ABC BOARD 0149,NC,DIST,,SI,,Eastern Area,Dom3 Carolinas Division,Domestic,Dom3 Atlantic Region,87,NC,North Carolina,NC,1123
0000001049,US,USA,,S,,,,D,,JOHNSON BROTHERS OF WISCONSIN,WI,DIST,,SI,,Northern Area,Dom2 Heartland Division,Domestic,Dom2 MidWest Region,53,WI,Wisconsin,WI,1128
0000001051,US,USA,,S,,,,D,,WINDHAM DIST,NC,DIST,,SI,,Eastern Area,Dom3 Carolinas Division,Domestic,Dom3 Atlantic Region,87,NC,North Carolina,NC,1123
0000001059,US,USA,,S,,,,D,,EMPIRE DISTRIBUTORS OF,TN,DIST,,SI,,Eastern Area,Dom3 Southeast Division,Domestic,Dom3 SouthEast Region,60,TN,Tennessee,TN,1121
0000001063,US,USA,,S,,,,D,,SOUTHERN GLAZER S WINE   SPIRI,AR,DIST,,SI,,Mega Area,Dom4 Mega East Division,Domestic,Dom4 Mega Region,83,AR,Arkansas,AR,8009
0000001065,0000206017,TAHITI,,S,,,,I,,PACIFIC BEVERAGE CO TAHITI,,DIST,,SI,,Asia Area,Intl87  A O Asia Div,International,Intl5 Asia Region,84,,,,8009
0000001069,US,USA,,S,,,,D,,DAYTON HEIDELBERG DIST CO,OH,DIST,,SI,,Northern Area,Dom2 Lakes Division,Domestic,Dom2 Central Region,56,OH,Ohio,OH,1128
0000001071,US,USA,,S,,,,D,,BEVERAGE CONTROL INC,TN,DIST,,SI,,Eastern Area,Dom3 Southeast Division,Domestic,Dom3 SouthEast Region,60,TN,Tennessee,TN,1121
0000001077,0000205018,VIRGIN ISLANDS  U S,,S,,,,I,,WEST INDIES COMPANY ST THOMAS VI,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,1159
0000001085,US,USA,,S,,,,D,,BLUE RIDGE DIST CO INC,NC,DIST,,SI,,Eastern Area,Dom3 Carolinas Division,Domestic,Dom3 Atlantic Region,87,NC,North Carolina,NC,8009
0000001110,US,USA,,S,,,,D,,JOHNSON BROTHERS OF NORTH CAROLINA  INC,NC,DIST,,SI,,Eastern Area,Dom3 Carolinas Division,Domestic,Dom3 Atlantic Region,87,NC,North Carolina,NC,8009
0000001112,US,USA,,S,,,,D,,ANTONIO ORIGLIO  INC,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000001118,US,USA,,S,,,,D,,PINE STATES SPIRITS CO,ME,DIST,,SI,,Control Area,Dom5 Control East Division,Domestic,Dom5 Control Region,88,ME,Maine,ME,1122
0000001124,US,USA,,S,,,,D,,HPB C O CHARLOTTESVILLE DIST,VA,DIST,,SI,,Eastern Area,Dom3 Capital Division,Domestic,Dom3 Atlantic Region,87,VA,Virginia,VA,1125
0000001126,US,USA,,S,,,,D,,RELIABLE CHURCHILL LLP,MD,DIST,,SI,,Eastern Area,Dom3 Capital Division,Domestic,Dom3 Atlantic Region,87,MD,Maryland,MD,8009
0000001138,US,USA,,S,,,,D,,ZTERM UNITED DISTRIBUTORS INC,GA,DIST,,SI,,Eastern Area,Dom3 Southeast Division,Domestic,Dom3 SouthEast Region,60,GA,Georgia,GA,8009
0000001146,US,USA,,S,,,,D,,GREAT LAKES WINE   SPIRITS LLC,MI,DIST,,SI,,Northern Area,Dom2 Lakes Division,Domestic,Dom2 Central Region,56,MI,Michigan,MI,1128
0000001148,0000205009,BERMUDA,,S,,,,I,,BURROWS LIGHTBOURN LTD,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,1159
0000001150,US,USA,,S,,,,D,,CROWN DIST CO OF ABERDEEN INC,WA,DIST,,SI,,Western Area,Dom1 Western Division,Domestic,Dom1 Western Region,23,WA,Washington,WA,1151
0000001152,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,1123
0000001159,US,USA,,S,,,,D,,EMPIRE DISTRIBUTORS OF TENNESSEE,TN,DIST,,SI,,Eastern Area,Dom3 Southeast Division,Domestic,Dom3 SouthEast Region,60,TN,Tennessee,TN,8009
0000001161,US,USA,,S,,,,D,,MWR   MARINE CORP EXCHG 0130,NC,DIST,,SI,,Military Area,Dom6 Military Domestic,Domestic,Dom6 Dom Military Region,17,NC,North Carolina,MIL,1123
0000001171,US,USA,,S,,,,D,,SOUTHERN GLAZER S WINE AND SPI,KS,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,KS,Kansas,KS,8009
0000001173,0000205018,VIRGIN ISLANDS  U S,,S,,,,I,,WEST INDIES COMPANY ST CROIX VI,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,1159
0000001177,US,USA,,V,,,,D,,OREGON L C C,OR,DIST,,SI,,Control Area,Dom5 Control West Division,Domestic,Dom5 Control Region,88,OR,Oregon,OR,8009
0000001179,US,USA,,S,,,,D,,ZTERM EMPIRE DIST INC,GA,DIST,,SI,,Eastern Area,Dom3 Southeast Division,Domestic,Dom3 SouthEast Region,60,GA,Georgia,GA,1119
0000001183,US,USA,,S,,,,D,,SOUTHERN GLAZER S DISTRIBUTORS,OH,DIST,,SI,,Northern Area,Dom2 Lakes Division,Domestic,Dom2 Central Region,56,OH,Ohio,OH,8009
0000001189,US,USA,,S,,,,D,,FARRELL DIST CORP,VT,DIST,,SI,,Mega Area,Dom4 Mega East Division,Domestic,Dom4 Mega Region,83,VT,Vermont,VT,1122
0000001191,US,USA,,S,,,,D,,JOHNSON BROTHERS OF NEBRASKA L,NE,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,NE,Nebraska,NE,1121
0000001197,US,USA,,S,,,,D,,HENRY A FOX SALES CO,MI,DIST,,SI,,Northern Area,Dom2 Lakes Division,Domestic,Dom2 Central Region,56,MI,Michigan,MI,8009
0000001203,US,USA,,S,,,,D,,ROACH   SMITH DISTRIBUTORS INC,MT,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,MT,Montana,MT,1151
0000001208,US,USA,,S,,,,D,,RITE AID,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,NorCAL,1151
0000001209,US,USA,,S,,,,D,,SAFEWAY,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,NorCAL,
0000001222,US,USA,,S,,,,D,,STATER BROS,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,SoCAL,8009
0000001225,US,USA,,S,,,,D,,SMART FINAL FONTANA,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,SoCAL,8009
0000001226,US,USA,,S,,,,D,,SUPERVALU,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,SoCAL,1151
0000001230,US,USA,,S,,,,D,,RALPHS,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,SoCAL,8009
0000001242,US,USA,,S,,,,D,,GALLO WINE SALES NJ,NJ,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,NJ,New Jersey,NJ,1125
